18545	 2.43646e+07 	1.0436e+06	
18546	 2.16883e+07 	1.0436e+06	
18547	 1.92214e+07 	1.0436e+06	
18548	 1.69654e+07 	1.0436e+06	
18549	 1.48958e+07 	1.0436e+06	
18550	 1.30186e+07 	1.0436e+06	
18551	 1.13122e+07 	1.0436e+06	
18552	 9.7757e+06 	1.0436e+06	
18553	 8.38887e+06 	1.0436e+06	
18554	 7.15235e+06 	1.0436e+06	
18555	 6.0483e+06 	1.0436e+06	
18556	 5.06647e+06 	1.0436e+06	
18557	 4.20482e+06 	1.0436e+06	
18558	 3.4482e+06 	1.0436e+06	
18559	 2.79557e+06 	1.0436e+06	
18560	 2.23058e+06 	1.0436e+06	
18561	 1.75045e+06 	1.0436e+06	
18562	 1.34218e+06 	1.0436e+06	
18563	 1.00594e+06 	1.0436e+06	
18564	 731422 	1.0436e+06	
18565	 511962 	1.0436e+06	
18566	 343556 	1.0436e+06	
18567	 187994 	902625	
18567.5	 145930 	902625	
18568	 110963 	902625	
18568.5	 82851 	902625	
18569	 60366 	902625	
18569.5	 42573 	902625	
18570	 64968 	1.96321e+06	
18570.5	 282718 	1.21403e+07	
18571	 344623 	2.06024e+07	
18571.5	 25968 	2.00834e+06	
18572	 36450 	3.27987e+06	
18573	 32697 	3.27987e+06	
18574	 32850 	3.27987e+06	
18575	 32895 	3.27987e+06	
18576	 32657 	3.27987e+06	
18577	 32847 	3.27987e+06	
18578	 32814 	3.27987e+06	
18579	 32911 	3.27987e+06	
18580	 32565 	3.27987e+06	
