# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = KATRIN
# method = sample (Default)
#   sample
#     num_samples = 600
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 1513717717
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mass,endpoint,A_sig,A_bkg,B_A,B_S,B_max,A1,A2,w1,w2,e2,sigma
-237.53,1,0.00115354,4,15,0,251.881,0.312558,18574.1,-1.28796,0.997148,2.69627,25216.7,41627.2,0.200142,0.0560659,1.86822,12.374,14.3671,3.63918
-236.065,0.114136,0.00215139,2,7,1,248.15,0.312274,18574.1,-0.0961379,0.997203,2.69633,25216.6,41627.8,0.200148,0.0560647,1.86833,12.3738,14.367,3.63881
-230.116,0.988467,0.000358114,4,15,0,242.611,0.31131,18574.1,0.801862,0.997604,2.69629,25216.1,41627.7,0.200148,0.0560636,1.86834,12.3724,14.3669,3.63913
-230.546,0.913178,0.000647015,4,15,0,235.131,0.310913,18574.1,1.37308,0.997559,2.69627,25216.5,41627.5,0.200148,0.0560633,1.86812,12.3732,14.3669,3.63921
-214.413,0.966776,0.000946728,4,15,0,235.422,0.307757,18574.1,0.050385,0.998917,2.69635,25217.2,41626.4,0.200148,0.0560604,1.8682,12.373,14.3673,3.64076
-212.981,0.781327,0.00158675,4,15,0,220.924,0.308576,18574.1,0.133992,0.999172,2.6964,25217,41626.5,0.200147,0.056064,1.86838,12.3743,14.3673,3.64053
-167.068,0.346625,0.0016195,4,15,0,220.37,0.293997,18574.1,1.78863,1.00384,2.69602,25211.5,41626.2,0.200132,0.0560469,1.86623,12.3761,14.3671,3.64227
-164.212,0.994198,0.000531541,4,15,0,173.156,0.291833,18574.1,2.16032,1.00406,2.69616,25212,41626.1,0.200131,0.0560428,1.86659,12.3741,14.3669,3.64235
-160.502,0.65534,0.000948595,4,15,0,169.821,0.291896,18574,0.881357,1.00493,2.69631,25212.6,41626.4,0.20014,0.056047,1.86762,12.3742,14.3668,3.64278
-158.864,0.98533,0.000702503,4,15,0,165.374,0.291214,18574.1,0.922871,1.00537,2.69638,25213.8,41626.9,0.200133,0.0560496,1.86789,12.3783,14.3671,3.64225
-158.502,0.987666,0.00121167,4,15,0,167.541,0.291215,18574,1.01871,1.00512,2.6963,25214,41626.5,0.200129,0.0560558,1.86797,12.3797,14.3671,3.64175
-157.106,0.134345,0.00208452,3,13,1,162.726,0.291456,18574.1,1.0816,1.00533,2.6963,25214.3,41626.3,0.200126,0.0560557,1.86793,12.3796,14.3671,3.6416
-157.085,0.956755,0.000417289,4,15,0,164.333,0.28898,18574,1.95459,1.00495,2.69612,25214.3,41626.9,0.200125,0.056058,1.8682,12.379,14.3672,3.64079
-156.683,0.982976,0.000664176,4,15,0,162.226,0.288961,18574.1,0.685719,1.0051,2.69608,25214.8,41627.1,0.200124,0.0560592,1.8681,12.3789,14.3669,3.64137
-156.254,0.931988,0.00112005,4,15,0,163.385,0.289345,18574.1,1.58743,1.00517,2.69599,25214.3,41627.3,0.200129,0.0560618,1.86829,12.3786,14.3669,3.64069
-158.921,0.370102,0.00165347,4,15,0,165.193,0.290229,18574,0.85638,1.00537,2.69614,25214,41628.1,0.200127,0.0560703,1.86877,12.3778,14.3668,3.64128
-159.971,0.998882,0.000616262,4,15,0,163.339,0.290468,18574,0.879727,1.00509,2.69618,25213,41628.9,0.200131,0.056071,1.86896,12.3763,14.3668,3.64098
-148.262,1,0.00106776,4,15,0,168.862,0.28674,18574.1,1.69837,1.00679,2.69636,25212.1,41627.9,0.200147,0.0560775,1.86922,12.3697,14.3672,3.6402
-141.48,0.721925,0.00184037,4,15,0,153.964,0.276418,18574,4.66587,1.0077,2.69621,25213.7,41625.9,0.200155,0.0560755,1.86986,12.3687,14.367,3.64086
-138.54,0.435215,0.00161977,4,15,0,154.298,0.27491,18574,4.69063,1.0082,2.6963,25215.7,41632,0.200152,0.0560713,1.87,12.3661,14.3676,3.63945
-135.391,0.974997,0.000723039,4,15,0,141.064,0.274156,18574,0.555287,1.00828,2.69629,25215.5,41632,0.200147,0.0560712,1.87002,12.3655,14.3676,3.63942
-135.215,0.840493,0.00116405,4,15,0,140.219,0.272631,18574,3.23803,1.00841,2.69621,25216.3,41632.1,0.200145,0.0560725,1.87019,12.3634,14.368,3.63944
-131.618,0.814975,0.00135874,4,15,0,142.71,0.276412,18574,3.27459,1.01083,2.69626,25215.1,41631,0.200148,0.056072,1.87006,12.3687,14.3678,3.63912
-125.918,0.911238,0.00149113,4,15,0,134.83,0.268138,18574,1.94007,1.01041,2.69641,25215.6,41633.8,0.200168,0.0560762,1.86874,12.3669,14.3676,3.64055
-125.918,0.0656823,0.00204111,4,15,0,130.439,0.268138,18574,1.94007,1.01041,2.69641,25215.6,41633.8,0.200168,0.0560762,1.86874,12.3669,14.3676,3.64055
-127.323,0.960132,0.000399092,4,15,0,132.926,0.268006,18574,4.0553,1.01071,2.6963,25215.7,41633.7,0.200162,0.0560753,1.86873,12.3676,14.3678,3.64053
-125.493,0.999979,0.000613088,4,15,0,139.971,0.264081,18574,2.21987,1.0107,2.69623,25213.5,41634.2,0.200151,0.0560639,1.86929,12.3655,14.3674,3.64012
-125.325,0.977249,0.00102506,4,15,0,132.524,0.265818,18574,4.07602,1.01123,2.69593,25212.9,41634,0.200149,0.0560591,1.86948,12.3672,14.3677,3.64039
-119.633,1,0.0016175,4,15,0,131.609,0.257447,18574,3.69911,1.01189,2.69584,25211.8,41635.6,0.200158,0.0560614,1.86856,12.3608,14.368,3.63748
-119.633,7.95295e-07,0.00267012,1,3,1,123.337,0.257447,18574,3.69911,1.01189,2.69584,25211.8,41635.6,0.200158,0.0560614,1.86856,12.3608,14.368,3.63748
-119.067,0.999358,0.000472665,4,15,0,124.095,0.257534,18574,2.88785,1.01201,2.69599,25211.9,41635.1,0.200153,0.0560643,1.86856,12.3601,14.3681,3.63787
-121.021,0.964297,0.000779791,4,15,0,125.23,0.258638,18574,1.33759,1.01211,2.6959,25211.3,41635.7,0.200152,0.0560663,1.8686,12.3611,14.3682,3.63798
-116.824,0.900774,0.00118361,4,15,0,133.391,0.251846,18574,3.17655,1.0121,2.69581,25211.6,41634.1,0.200129,0.0560659,1.86754,12.3612,14.3681,3.6355
-118.228,0.819632,0.00155547,4,15,0,120.643,0.253435,18574,3.49473,1.01213,2.69575,25213.4,41634.9,0.200135,0.0560679,1.86761,12.3579,14.368,3.63576
-119.746,0.736581,0.00170765,4,15,0,128.591,0.252946,18574,3.18794,1.00996,2.69644,25216.1,41633.1,0.200129,0.0560721,1.86808,12.3543,14.3665,3.63253
-116.341,0.460125,0.00156452,4,15,0,125.152,0.248086,18574,2.7804,1.01037,2.69685,25214,41634.5,0.200138,0.0560714,1.8678,12.3557,14.3663,3.63165
-115.842,0.96961,0.000791693,4,15,0,121.898,0.250069,18574,2.66901,1.01015,2.69669,25214.9,41634.5,0.200132,0.0560711,1.86812,12.3546,14.3663,3.63251
-116.069,0.937852,0.00119946,4,15,0,124.669,0.250411,18574,3.3704,1.0106,2.69679,25216.2,41634.3,0.200144,0.0560589,1.86807,12.3522,14.3665,3.63198
-113.937,0.635272,0.00169038,4,15,0,124.063,0.245544,18574,2.53244,1.01031,2.69677,25216.5,41632.1,0.200158,0.0560589,1.86764,12.3473,14.3662,3.6303
-112.265,0.991771,0.00125139,4,15,0,123.883,0.242954,18574,3.2931,1.01183,2.69694,25220.4,41631.8,0.200171,0.0560549,1.86751,12.3455,14.366,3.62886
-112.893,0.599573,0.00196656,4,15,0,121.82,0.242823,18574,2.40609,1.01178,2.69654,25224.8,41627.1,0.200188,0.0560896,1.86688,12.3464,14.3663,3.62763
-110.699,0.99792,0.00135376,4,15,0,121.033,0.23928,18574,3.13931,1.01128,2.69637,25223.8,41629.5,0.200212,0.0560825,1.86705,12.3486,14.366,3.62609
-110.699,0.0321316,0.0021426,2,7,0,115.205,0.23928,18574,3.13931,1.01128,2.69637,25223.8,41629.5,0.200212,0.0560825,1.86705,12.3486,14.366,3.62609
-110.866,0.99235,0.000457179,4,15,0,125.458,0.238726,18574,3.63311,1.01131,2.69636,25223.8,41629.5,0.200214,0.0560807,1.86703,12.3486,14.3661,3.62591
-110.65,0.975119,0.000715627,4,15,0,115.176,0.236668,18574,2.14742,1.01198,2.69654,25223.8,41629.7,0.200217,0.0560836,1.86738,12.3498,14.3662,3.62539
-111.075,0.969709,0.00107609,4,15,0,115.563,0.23787,18574,3.35141,1.01132,2.69664,25223.3,41629.2,0.200221,0.0560868,1.8675,12.351,14.3661,3.62701
-110.839,0.704412,0.00159334,4,15,0,115.607,0.233066,18574,3.85193,1.01092,2.69694,25222,41628.5,0.200231,0.0560831,1.86634,12.3461,14.3662,3.62713
-108.909,0.962956,0.00137203,4,15,0,114.224,0.227211,18574,3.87598,1.0103,2.69683,25224.4,41626.6,0.200233,0.0560757,1.866,12.3429,14.3663,3.62904
-106.094,0.761616,0.0019929,4,15,0,109.379,0.225589,18574,3.52267,1.01018,2.69649,25223.8,41626.6,0.200241,0.0560665,1.86674,12.3452,14.3664,3.62992
